Query	search_rank	reader_doc_name	reader_text	reader_score	id	doc_name	searching_text
отец ребенка может получить пособие по уходу за ребенком	24	Как  получить   пособие  при рождении  ребенка 	Как получить пособие при рождении ребенка Если передан на воспитание ребенок старше шести месяцев , усыновитель (опекун, приемный родитель) может претендовать только на пособие при передаче ребенка на воспитание в семью. Такие правила следуют из положений статей...	0.8186327219009399	1	Кому положено  пособие по   уходу за   ребенком   до   1,5   лет 	Кому положено пособие по уходу за ребенком до 1,5 лет Пособие по уходу за ребенком сотрудники получают до достижения ребенком возраста 1,5 лет . Пособие платит СФР напрямую сотруднику. В рекомендации – получают ли пособие совместители, приемные родители и опекуны, как оформлять пособие во время декрета, при увольнении.
отец ребенка может получить пособие по уходу за ребенком	8	Можно ли оплачивать больничный  отцу , если  ребенок  заболел, когда мать в отпуске по  уходу  за  ребенком  лечилась в стационаре	Можно ли оплачивать больничный отцу , если ребенок заболел, когда мать в отпуске по уходу за ребенком лечилась в стационаре Мать ребенка обязана прервать свой отпуск по уходу за малышом, если отец ребенка хочет получить ... пособие . Женщина также может получить пособие по своей болезни. Кроме того, если мать прервет свой...	0.8139249682426453	2	Как работодателю оформить  пособие по   уходу за   ребенком   до   1,5   лет 	Как работодателю оформить пособие по уходу за ребенком до 1,5 лет Сумма пособия по уходу за ребенком до 1,5 лет составляет 40 процентов среднего заработка за календарный месяц : 38 994,38 руб. × 40% = 15 597,75 руб.
отец ребенка может получить пособие по уходу за ребенком	16	Кому положены отпуск и  пособие по   уходу за   ребенком   до   1,5   лет , если мать на больничном	Кому положены отпуск и пособие по уходу за ребенком до 1,5 лет , если мать на больничном Если мать ребенка , получающая ежемесячное пособие по уходу за ребенком, не может ухаживать за ребенком в связи с болезнью, оформить отпуск и получать пособие может другой член семьи, фактически ухаживающий...	0.8047423362731934	3	Как  получить   пособие по   уходу за   ребенком   до   1,5   лет 	Как получить пособие по уходу за ребенком до 1,5 лет Однако усыновители признаются родственниками усыновленного ребенка по происхождению. То есть юридически они считаются отцом и ... СК. А мать или отец вправе получать пособие по уходу за ребенком до 1,5 лет ...
отчетность по транспортному налогу за 2023 год	17	Как рассчитать  транспортный   налог по  дорогим  автомобилям 	Как рассчитать транспортный налог по дорогим автомобилям Как рассчитать транспортный налог по дорогостоящему легковому автомобилю за 2023 год 	0.8469634652137756	1	Состав и сроки сдачи  налоговой   отчетности  ИП  за   2023   год 	Состав и сроки сдачи налоговой отчетности ИП за 2023 год Форма и Порядок заполнения утверждены приказом ФНС от 29.09.2022 № ЕД-7-11/878 (применяется начиная с отчетности за январь 2023 года ). Отчет заменяет форму СЗВ-М и подается в налоговые органы для дальнейшей...
отчетность по транспортному налогу за 2023 год	6	Как организации рассчитать  транспортный   налог 	Как организации рассчитать транспортный налог ...включают все налоговые периоды начиная с 1 января 2017 года и до окончания периода, за ... При определении количества лет, прошедших с года выпуска автомобиля , для расчета транспортного налога за 2023 ...	0.825452446937561	2	Календарь бухгалтера на  2023   год . Сроки сдачи  отчетности  и уплаты  налогов 	Календарь бухгалтера на 2023 год . Сроки сдачи отчетности и уплаты налогов Подать сообщение о наличии объектов недвижимого имущества и транспортных средств , признаваемых объектами налогообложения в 2021 году *
отчетность по транспортному налогу за 2023 год	26	Как отразить  транспортный   налог  в бухучете и при  налогообложении 	Как отразить транспортный налог в бухучете и при налогообложении Если организация использует метод начисления , сумму транспортного налога (авансовых платежей) включите в состав расходов в момент начисления — в последний день отчетного (налогового) периода ( подп. 1 п. 7...	0.8150131702423096	3	Как организации платить  транспортный   налог  в 2024  году 	Как организации платить транспортный налог в 2024 году Налоговый период по транспортному налогу — календарный год . Отчетными периодами признаются I, II и III кварталы (п. 1—2 ст. 360 НК). Региональные власти вправе:
сведения о характере и условиях трудовой деятельности	24	Как составить Правила  внутреннего  трудового распорядка	Как составить Правила внутреннего трудового распорядка Режим рабочего времени пропишите в зависимости от характера производства, особенностей трудового процесса, нормы рабочего времени, условий деятельности и иных факторов.	0.7240707278251648	1	Как оформить и учесть компенсацию расходов при разъездном  характере   работы 	Как оформить и учесть компенсацию расходов при разъездном характере работы Сведения о разъездном характере работы – обязательное условие трудового договора ( абз. 8 ч. 2 ст. 57 ТК ). Скачайте образец трудового договора с разъездным характером работы.
сведения о характере и условиях трудовой деятельности	3	Кому и как установить разъездной  характер   работы 	Кому и как установить разъездной характер работы Сведения о разъездном характере работы – обязательное условие трудового договора ( абз. 8 ч. 2 ст. 57 ТК ). Скачайте образец трудового договора с разъездным характером работы.	0.6955434679985046	2	Как рассчитать зарплату сотрудника, не  выполнившего  свои  трудовые   обязанности 	Как рассчитать зарплату сотрудника, не выполнившего свои трудовые обязанности Если нормы выработки или должностные обязанности не выполнены по вине администрации, зарплату сотруднику начисляйте за фактически отработанное время или фактически сделанную работу . При этом начисленная сумма не должна быть ниже...
сведения о характере и условиях трудовой деятельности	21	Как разместить  информацию  на сайте организации по результатам специальной оценки  условий   труда 	Как разместить информацию на сайте организации по результатам специальной оценки условий труда установленные классы (подклассы) условий труда на рабочих местах;	0.6844443082809448	3	Кому и как установить разъездной  характер   работы 	Кому и как установить разъездной характер работы Сведения о разъездном характере работы – обязательное условие трудового договора ( абз. 8 ч. 2 ст. 57 ТК ). Скачайте образец трудового договора с разъездным характером работы.
натуральный доход нужно добавлять в себестоимость в форме 2	5	Как на УСН определить  доходы ,  доходы  в валюте или в  натуральной   форме 	Как на УСН определить доходы , доходы в валюте или в натуральной форме Все доходы на упрощенке учитывают в денежном эквиваленте (п. 1 , 2 ст. 346.18 НК). Доход в натуральной форме оцените по рыночному уровню ( п. 4 ст. 346.18 НК ).	0.7606087327003479	1	Как рассчитать и платить НДФЛ с  дохода  в  натуральной   форме 	Как рассчитать и платить НДФЛ с дохода в натуральной форме ...оплачивает сотруднику часть стоимости покупки, поэтому сумма скидки — это доход сотрудника в натуральной форме . ... сниженной ценой. С дохода удержите НДФЛ. Это следует из пункта 1 статьи 210, подпункта 2 ...
натуральный доход нужно добавлять в себестоимость в форме 2	11	Как отразить в 6-НДФЛ  доход  в  натуральной   форме 	Как отразить в 6-НДФЛ доход в натуральной форме Доход в натуральной форме включите в раздел 2 расчета 6-НДФЛ в периоде, когда организация передала физлицу или оплатила вместо него товары, работы, услуги ( подп. 2 п. 1 ст. 223...	0.7507359981536865	2	Как сформировать  себестоимость  готовой продукции, работ или услуг	Как сформировать себестоимость готовой продукции, работ или услуг При массовом и серийном производстве компания вправе оценивать готовую продукцию, работы или услуги любым из ... способов: по фактической себестоимости , по прямым затратам, по плановым (нормативным) затратам. Обычно отдают предпочтение последним...
натуральный доход нужно добавлять в себестоимость в форме 2	30	Как ИП на ОСНО платить НДФЛ с доходов в  натуральной   форме 	Как ИП на ОСНО платить НДФЛ с доходов в натуральной форме При получении дохода в натуральной форме в виде товаров (работ, услуг) определите его размер как ... акцизов. Из суммы дохода исключается частичная оплата товаров (работ, услуг), полученных предпринимателем ( абз. 2 ...	0.7139594554901123	3	Как выдать зарплату в  натуральной   форме 	Как выдать зарплату в натуральной форме Заявление можно составить как на отдельную выплату, так и на определенный период (квартал, год). В ... случае по согласованию с администрацией сотрудник вправе досрочно отказаться от натуральной формы оплаты труда. Об...
решение или протокол о распределении доли общества	8	Как внести изменения в ЕГРЮЛ при  распределении  или продаже  долей   общества 	Как внести изменения в ЕГРЮЛ при распределении или продаже долей общества Общество распределяет долю между участниками	0.8264099359512329	1	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками 	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками решение или протокол о распределении доли общества ;
решение или протокол о распределении доли общества	1	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками 	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками решение или протокол о распределении доли общества ;	0.7416174411773682	2	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками-гражданами	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками-гражданами решение или протокол о распределении доли общества ;
решение или протокол о распределении доли общества	2	Как заполнить заявление по форме № Р 13014 при  распределении   долей   общества  между участниками-гражданами	Как заполнить заявление по форме № Р 13014 при распределении долей общества между участниками-гражданами решение или протокол о распределении доли общества ;	0.7301905155181885	3	Как заполнить заявление по форме № Р 13014 при  распределении   доли   общества  единственному участнику &#8212; гражданину	Как заполнить заявление по форме № Р 13014 при распределении доли общества единственному участнику &#8212; гражданину решение или протокол о распределении доли общества ;
как начислить амортизацию по ос полученному на праве хозяйственного ведения	22	Как для УСН  начислить   амортизацию  машины	Как для УСН начислить амортизацию машины Независимо от выбранного объекта налогообложения организации, применяющие упрощенку, обязаны вести бухучет в полном объеме, в ... , 5 Закона от 06.12.2011 № 402-ФЗ). Следовательно, в бухучете они обязаны начислять амортизацию по ...	0.8017348051071167	1	Как в бухучете  начислить   амортизацию   основных средств   по  ФСБУ	Как в бухучете начислить амортизацию основных средств по ФСБУ Дебет 20 (08, 23, 25, 44, 91...) Кредит 02 — начислена амортизация по безвозмездно полученному основному средству ;
как начислить амортизацию по ос полученному на праве хозяйственного ведения	8	Как составить ведомость  начисления   амортизации   основных средств 	Как составить ведомость начисления амортизации основных средств Ведомость начисления амортизации по основным средствам 	0.7881231307983398	2	Как некоммерческой организации  начислить   амортизацию   по   основным средствам 	Как некоммерческой организации начислить амортизацию по основным средствам Новые ОС . По основным средствам, которые приобрели и ввели в эксплуатацию уже после перехода на ... 6/2020, амортизацию начисляйте в общем порядке. Конкретные проводки зависят от того, увязан ли счет 86...
как начислить амортизацию по ос полученному на праве хозяйственного ведения	24	Схема действий: как  начислить   амортизацию   основных средств  в бухучете	Схема действий: как начислить амортизацию основных средств в бухучете Убедитесь, что амортизацию начислять нужно	0.756324291229248	3	Как  начислить   амортизацию   по  автомобилю	Как начислить амортизацию по автомобилю Таким образом, начиная с 1 января 2009 года амортизацию по названным основным средствам нужно начислять ... основным нормам независимо от того, когда они были введены в эксплуатацию. При этом организация вправе ...
книга доходов усн доходы за 2023 год раздел 4	5	Как в  книге   учета   доходов  и  расходов  на  УСН  заполнить справку к  разделу  I	Как в книге учета доходов и расходов на УСН заполнить справку к разделу I по строке 010 – сумма полученных доходов за год . Ее можно посмотреть в строке Итого за год графы 4 раздела I книги учета доходов и расходов ;	0.7281625270843506	1	Как вести  книгу   учета   доходов  и  расходов  на  УСН 	Как вести книгу учета доходов и расходов на УСН Форма и порядок заполнения книги учета доходов и расходов на УСН утверждены приказом ФНС от ... № ЕА-7-3/816@ . Такую книгу учета заполняют организации и предприниматели. При объекте «доходы» и «доходы...
книга доходов усн доходы за 2023 год раздел 4	15	Утвердили новые формы  книг   учета   доходов  и  расходов  на  УСН , ЕСХН и ПСН с 2024  года 	Утвердили новые формы книг учета доходов и расходов на УСН , ЕСХН и ПСН с 2024 года С 2024 года организации и ИП должны вести книгу учета доходов и расходов по УСН ... приказом ФНС от 07.11.2023 № ЕА-7-3/816@ . Основное изменение в том, что убрали раздел IV ...	0.7095971703529358	2	Какие  разделы  заполнять в  книге   учета   доходов  и  расходов  при  УСН 	Какие разделы заполнять в книге учета доходов и расходов при УСН На упрощенке с объектом доходы заполняйте в книге учета раздел I и раздел IV . Налогоплательщики с объектом доходы минус расходы заполняют в книге учета разделы I , II и...
книга доходов усн доходы за 2023 год раздел 4	8	Как заполнить  раздел  I в  книге   учета   доходов  и  расходов  при  УСН  &#171;доходы&#187;	Как заполнить раздел I в книге учета доходов и расходов при УСН &#171;доходы&#187; При объекте доходы итоговые суммы из графы 4 книги учета перенесите в раздел 2.1.1 декларацию при УСН (строки 110–113).	0.708113431930542	3	Как внести изменения в  книгу   учета   доходов  и  расходов  при  упрощенке 	Как внести изменения в книгу учета доходов и расходов при упрощенке ...которая повлекла за собой неполную уплату налога в бюджет, в книгу учета доходов и расходов ... внести исправления. Данные следует уточнять за тот период, в котором была допущена ошибка. Одновременно с...
не подали уведомление ндфл за декабрь 2023	1	Сроки  сдачи  и коды периодов для  уведомлений  по ЕНП в 2024 году	Сроки сдачи и коды периодов для уведомлений по ЕНП в 2024 году За календарный год уведомление по НДФЛ не представляется , так как декларацию 3-НДФЛ подают до срока уплаты налога	0.8111118078231812	1	Сроки  сдачи  и коды периодов для  уведомлений  по ЕНП в 2024 году	Сроки сдачи и коды периодов для уведомлений по ЕНП в 2024 году За календарный год уведомление по НДФЛ не представляется , так как декларацию 3-НДФЛ подают до срока уплаты налога
не подали уведомление ндфл за декабрь 2023	14	Календарь бухгалтера на  2023  год. Сроки  сдачи  отчетности и уплаты налогов	Календарь бухгалтера на 2023 год. Сроки сдачи отчетности и уплаты налогов Сдать уведомление об НДФЛ , удержанном 30 декабря 2022 года	0.7995413541793823	2	Как составить и  сдать   уведомление  по ЕНП в 2024 году	Как составить и сдать уведомление по ЕНП в 2024 году Уведомление по НДФЛ , который перечисляют налоговые агенты, надо подать дважды: не позднее 25-го числа текущего ... уведомление по НДФЛ , которое подавали в 2023 году 12-го числа, с 2024 года не ...
не подали уведомление ндфл за декабрь 2023	5	Нужно ли  сдавать  промежуточное  уведомление  по  НДФЛ 	Нужно ли сдавать промежуточное уведомление по НДФЛ ...года промежуточные необязательные уведомления по сроку 12-го числа не подают . Они применялись до конца 2023 ... года налоговые агенты подают два обязательных уведомления по НДФЛ (в январе — одно, в декабре ...	0.7988693118095398	3	Изменения  по НДФЛ 	Изменения по НДФЛ Уведомление с ошибками будут считать непредставленным . Уведомление признают не представленным полностью или частично, если налоговые ... за днем получения соответствующего уведомления. Частично не представленным уведомлением будут считать ситуацию, когда уведомление подано ...
срок оплаты земельного налога за 2023 год	4	 Срок   уплаты   земельного   налога  и авансовых платежей по нему	 Срок уплаты земельного налога и авансовых платежей по нему Налог за 2023 год заплатите не позднее 28 февраля 2024 года, за 2024 год — не позднее 28 февраля 2025 года ( абз. 2 п. 1 ст. 397 НК ).	0.8998470306396484	1	Как организации  заплатить   земельный   налог  в бюджет в 2024  году 	Как организации заплатить земельный налог в бюджет в 2024 году Налог за 2023 год заплатите не позднее 28 февраля 2024 года, за 2024 год — не позднее 28 февраля 2025 года ( абз. 2 п. 1 ст. 397 НК ).
срок оплаты земельного налога за 2023 год	5	Как организации рассчитать  земельный   налог 	Как организации рассчитать земельный налог При расчете земельного налога за 2023 год и авансовых платежей за отчетные периоды 2023 года надо учитывайте следующее правило. Если кадастровая стоимость на 1 января 2023 года больше кадастровой стоимости,...	0.8780863285064697	2	Календарь бухгалтера на  2023   год .  Сроки  сдачи отчетности и  уплаты   налогов 	Календарь бухгалтера на 2023 год . Сроки сдачи отчетности и уплаты налогов В справочнике — основные отчеты и платежи в СФР и налоговую инспекцию на 2023 год . Выбирайте дату в календаре, чтобы посмотреть, какие отчеты и платежи попадают на этот день. Полный перечень отчетности – в Профессиональном календаре бухгалтера. Чтобы получить перечень форм статистической отчетности для вашей организации или ИП, воспользуйтесь сервисом.
срок оплаты земельного налога за 2023 год	23	Как организации определить  налоговую  базу по  земельному   налогу 	Как организации определить налоговую базу по земельному налогу При расчете земельного налога за 2023 год и авансовых платежей за отчетные периоды 2023 года надо учитывайте следующее правило. Если кадастровая стоимость на 1 января 2023 года больше кадастровой стоимости,...	0.8675310611724854	3	Как предпринимателю  заплатить   земельный   налог  и надо ли сдавать декларацию	Как предпринимателю заплатить земельный налог и надо ли сдавать декларацию ...и не пользовались льготой, надо сообщить о таких участках налоговикам. С 1 апреля 2023 года ... ФНС от 23.12.2022 № ЕД-7-21/1250@ . Срок подачи — до 31 декабря года, следующего за ...
