Query	UserId	ChatsQ	BotAnswer	BotHelp	Rank	DocName	LemFounText	FounText	Score	Opinion	Confidence
Модульный вагончик на раме, какая амортизационная группа?	8018909	1	0	0	4	Как  группировать   основные средства  по ФСБУ 6/2020	группировать основной средство фсба 6 2020 весь объект один группа применяться один способ последующий оценка способ амортизация п 13 фсба 6 2020 разный же группа можно выбирать разный способ образ чем много группа	Как группировать основные средства по ФСБУ 6/2020 Для всех объектов одной группы применяется один способ последующей оценки, способ амортизации (п. 13 , ... ФСБУ 6/2020). По разным же группам можно выбирать разные способы. Таким образом, чем больше групп...	0.41498810052871704	Правда	0.9776387810707092
У организации есть бессрочная лицензия на осуществление мед деятельности. По новому ФСБУ 14/2022 она является нематериальным активом. Как организации определить стоимость этой лицензии (если все затраты были сформированы раньше в 2015 г данных не сохранилось) и как определить срок полезного использования для бессрочной лицензии? Что с амортизацией по ней нужно сделать. Организация имеет право на упрощенное ведение бухучета, лицензию хотелось бы правильно отразить на балансе в межотчетный период перспективно.	17604343	1	0	0	21	Как лицензиату отразить в бухучете  расходы  на  лицензию   ; проводки	лицензиат отражать бухучет расход лицензия проводка контроль получать неисключительный право ограничивать доступ иной лицо актив актив предполагать использовать этот случай стоимость лицензия обладать признак актив но короткий срок использование затрата нельзя учитывать	Как лицензиату отразить в бухучете расходы на лицензию ; проводки ...контролем над полученным неисключительным правом – ограничивать доступ иных лиц к активу. Актив предполагают использовать ... этом случае стоимость лицензии обладает признаками актива. Но из-за короткого срока использования затраты нельзя учесть ...	0.8836656808853149	Ложь	0.9099428057670593
Заключен договор тайм чартера на вылов биологических ресурсов в исключительной эконмической зоне РФ. Возникает ли НДС? если да то по какой ставке? Далее судно используется для перевозки в порт Кореи через таможенное оформление во Владивостоке. По какой ставке облагается услуга ?	3200570	1	0	0	12	Как начислять  НДС  при международных  перевозках  товаров	начислять ндс международный перевозка товар их вывоз предел еаэс быть отношение товар который проходить таможенный оформление страна еаэс отказываться нулевой ставка экспортер не вправе ее применение предусматривать международный договор	Как начислять НДС при международных перевозках товаров ...при их вывозе за пределы ЕАЭС. То есть в отношении товаров, которые проходят таможенное оформление . ... страны ЕАЭС , отказаться от нулевой ставки экспортер не вправе. Ее применение предусмотрено международным договором ...	0.8179887533187866	Правда	0.9551612138748169
Добрый день. Организация собрала пакет документов на подтверждение ставки 0% после 181 дня. Вопрос : с каким кодом операции должна быть отражена счет-фактура . восстановленная после подтверждения НДС 0%?	9806892	1	0	0	24	Как  восстановить  входной  НДС , ранее принятый к вычету	восстанавливать входной ндс ранее принимать вычет этот случай организация предъявлять вычет ндс день когда принимать покупка учет квартал когда проводить операция облагать ндс нулевой ставка восстанавливать входной налог повторно этот же	Как восстановить входной НДС , ранее принятый к вычету ...в этом случае организация предъявляет к вычету НДС в день , когда принимает покупки на учет . ... квартале, когда проведете операцию, облагаемую НДС по нулевой ставке , восстановите входной налог. Повторно эту же...	0.9614207744598389	Ложь	0.9203864932060242
как составить встречное исковое заявление в суд	5007556	1	0	0	1	Как  составить   исковое   заявление  о взыскании неустойки (штрафа, пеней)	составлять исковой заявление взыскание неустойка штраф пеня исковой заявление взыскание договорной или законный неустойка указывать наименование суд реквизит истец сведение ответчик требование истец и основание иск доказательство заявлять требование сведение соблюдение претензионный	Как составить исковое заявление о взыскании неустойки (штрафа, пеней) В исковом заявлении о взыскании договорной или законной неустойки нужно указать наименование суда , реквизиты истца, сведения об ответчике, требования истца и основания иска, доказательства заявленных требований, сведения о соблюдении претензионного...	0.09332935512065887	Ложь	0.9121127724647522
Добрый день. Подскажите нужно ли вести воинский учет сотрудников, принятых по договору ГПХ?	18304507	1	0	0	2	Какие организации обязаны  вести   воинский   учет   сотрудников 	какой организация обязанный весть воинский учет сотрудник весть воинский учет свой сотрудник должный весь организация независимо форма собственность подп 6 п 1 ст 8 федеральный закон 31 05 1996 61 фз п 7 ст 8	Какие организации обязаны вести воинский учет сотрудников Вести воинский учет своих сотрудников должны все организации независимо от формы собственности ( подп. 6 п. 1 ст. 8 Федерального закона от 31.05.1996 № 61-ФЗ , п. 7 ст. 8...	0.8327867388725281	Правда	0.9441168904304504
добрый день. При формировании годовой отчетности за 2023 год было выявлено, что на балансе числится долгосрочный займ (договор займа был заключен в июне 2022 года на срок 2года) срок погашения которого, начиная с января 2024 года, остается менее года. Вопрос: надо переводить этот займ из долгосрочного в краткосрочный и отражать перевод на синтетических счетах учета (Дт67Кт66)? или достаточно эту информацию отразить в пояснительной записке к годовому отчету?	16788618	1	0	0	5	Как  отражать  в  бухгалтерском   балансе  полученные кредиты и  займы 	отражать бухгалтерский баланс получать кредит и заем заем отражать зависимость срок погашение срок погашение 12 месяц и мало краткосрочный обязательство строка 1510 баланс же много 12 месяц состав долгосрочный	Как отражать в бухгалтерском балансе полученные кредиты и займы Займы отражайте в зависимости от срока погашения . Если срок погашения 12 месяцев и менее – ... краткосрочных обязательств по строке 1510 баланса . Если же больше 12 месяцев – в составе долгосрочных ...	0.9502476453781128	Ложь	0.8986528515815735
Добрый день! Предприятие на ОСНО. Оплатили поставщику по соглашению старый долг списанный на сч.91.01 с истекшим сроком исковой давности. Как вернуть долг в бухгалтерском учете? Можно ли уменьшить прибыль на сумму уплаченногог долга?	2797634	1	0	0	23	Нужно ли восстанавливать  списанную  кредиторскую  задолженность , если  вернули   долг   поставщику 	восстанавливать списывать кредиторский задолженность вернуть долг поставщик долг поставщик вернуть после задолженность списывать восстанавливать она не сумма погашение отражать состав прочий расход п 11 16 19 пбу 10 99 учет	Нужно ли восстанавливать списанную кредиторскую задолженность , если вернули долг поставщику Если долг поставщику вернули после того, как задолженность списали , восстанавливать ее не нужно. Сумму погашения ... отразите в составе прочих расходов (п. 11 , 16 , 19 ПБУ 10/99). В учете...	0.3819626271724701	Ложь	0.9322003126144409
добрый день, работник отказывается подписывать согласие на обработку персональных данных, действия руководителя в данном случае	284035	1	0	0	9	Как поступить, если  сотрудник   отказывается  давать  согласие  на  обработку  его  персональных   данных 	поступать сотрудник отказываться давать согласие обработка его персональный данные организация вправе продолжать обрабатывать персональный данные сотрудник без его согласие но быть определять основание например работодатель мочь не требовать согласие случай	Как поступить, если сотрудник отказывается давать согласие на обработку его персональных данных В такой ситуации организация вправе продолжать обрабатывать персональные данные сотрудника без его согласия , но только если есть определенных оснований. Например, работодатель может не требовать согласия в следующих случаях :	0.5695779323577881	Правда	0.9670034646987915
Здравствуйте. Можно ли ИП на патенте сразу подать заявление на уменьшение патента на сумму страховых взносов или необходимо разделить на 2 заявления на сумму патента, которую надо заплатить до 31 марта, а второе на сумму, которую надо заплатить до 31 декабря.	465666	1	0	0	21	Как ИП  уменьшить  на взносы  два  и более  патента 	ипать уменьшать взнос два и более патент уведомление уменьшение сумма налог весь указывать патент ипать подавать 10 октябрь 2023 год фиксированный взнос уплачивать ипать обязательный пенсионный и медицинский страхование патент 2	Как ИП уменьшить на взносы два и более патента Уведомление об уменьшении суммы налога по всем указанным патентам ИП подал 10 октября 2023 года. ... фиксированных взносов , уплаченных за ИП на обязательное пенсионное и медицинское страхование . По патентам № 2 ...	0.9615811705589294	Правда	0.9380753040313721
Добрый день. В декларации по УСН необходимо указать обоснование применения льготной ставки. ИП зарегистрирован в Калмыкии. Как в этом случае будет заполнена строка 124 налоговой декларации по УСН?	2118629	1	0	0	9	Как составить и сдать  декларацию по   налогу  при УСН	составлять и сдавать декларация налог усна ставка 101 раздел 2 1 1 декларация усна заполнять код признак применение налоговый ставка 120 123 раздел 2 1 1 указывать ставка налог каждый отчетный период и год строка 124	Как составить и сдать декларацию по налогу при УСН По ставке 101 раздела 2.1.1 декларации по УСН заполните «Код признака применения налоговой ставки». По ... 120–123 раздела 2.1.1 укажите ставку налога за каждый отчетный период и год. По строке 124 ...	0.8861412405967712	Правда	0.9291979670524597
Доброе утро, вопрос, если в Учетной политике малого предприятия, прописано, что основные средства учитываются по первоначальной стоимости, могу я с амортизированные основные средства с остаточной стоимостью 0 руб учитывать на счете 01 пока они работают? или должна их переместить на забалансовый счет?	5203226	1	0	0	12	Как рассчитать  амортизацию   основных средств  нелинейным методом в налоговом  учете 	рассчитать амортизация основной средство нелинейный метод налоговый учет сменить метод амортизация можно один раз пять год п 1 ст 259 нк остаточный стоимость остаточный стоимость определять 1 е январь тот год с начало который учетный политика	Как рассчитать амортизацию основных средств нелинейным методом в налоговом учете Сменить метод амортизации можно один раз в пять лет ( п. 1 ст. 259 НК ... остаточной стоимости . Остаточную стоимость определите на 1-е января того года, с начала которого учетной политикой ...	0.7797027826309204	Ложь	0.8648858070373535
Здравствуйте. Стоимость эл билета в валюте, пересчет в рубли должен быть на дату покупки или дату перелета?	17349185	1	0	0	10	Как отразить в бухучете конверсию  иностранной   валюты 	отражать бухучет конверсия иностранный валюта вместе с пересчет денежный средство валютный счет рубль дата проведение конверсия производиться официальный курс цб и официальный курс не устанавливать пересчет делать	Как отразить в бухучете конверсию иностранной валюты Вместе с тем, пересчет денежных средств на валютном счете в рубли на дату проведения конверсии производится по официальному курсу ЦБ. И только если официальный курс не установлен, пересчет делают по...	0.8525670766830444	Правда	0.9682695269584656
Добрый день, нужно ли сдавать форму ПМ-Пром при ремонте электродвигателей	9823073	1	0	0	7	Отгрузка и продажа в  форме   ПМ 	отгрузка и продажа форма пм строительный организация отражать строка 10 работа и услуга который они выполнять сторонний их стоимость тоже включать строка 10 не включать строка 10 стоимость строительный ремонтный	Отгрузка и продажа в форме ПМ Строительные организации отражают в строке 10 только работы и услуги, которые они выполнили для сторонних ... их стоимость тоже включают в строку 10 . Не включайте в строку 10 стоимость строительно-ремонтных ...	0.07710595428943634	Правда	0.9453216791152954
Здравствуйте! Подскажите, как арендатору отразить в бухучете аренду машино-места? Можно учитывать на затратах? Срок аренды 11 мес.	8407140	1	0	0	4	Как  арендатору   отразить в бухучете   арендные  платежи и субаренду	арендатор отражать бухучет арендный платеж и субаренда иметь право упрощенный способ ведение бухучет компания арендовать склад срок аренда 13 месяц начало договор 300 000 руб согласно пункт 11 и 12 фсба 25 2018 арендатор	Как арендатору отразить в бухучете арендные платежи и субаренду ...имеет права на упрощенные способы ведения бухучета . Компания арендует склад. Срок аренды — 13 месяцев ... на начало договора — 300 000 руб. Согласно пунктам 11 и 12 ФСБУ 25/2018 арендатор ...	0.6056118011474609	Правда	0.9596238732337952
