Query	UserId	ChatsQ	BotAnswer	BotHelp
добрый день. При формировании годовой отчетности за 2023 год было выявлено, что на балансе числится долгосрочный займ (договор займа был заключен в июне 2022 года на срок 2года) срок погашения которого, начиная с января 2024 года, остается менее года. Вопрос: надо переводить этот займ из долгосрочного в краткосрочный и отражать перевод на синтетических счетах учета (Дт67Кт66)? или достаточно эту информацию отразить в пояснительной записке к годовому отчету?	16788618	1	0	0
Добрый день! Предприятие на ОСНО. Оплатили поставщику по соглашению старый долг списанный на сч.91.01 с истекшим сроком исковой давности. Как вернуть долг в бухгалтерском учете? Можно ли уменьшить прибыль на сумму уплаченногог долга?	2797634	1	0	0
добрый день, работник отказывается подписывать согласие на обработку персональных данных, действия руководителя в данном случае	284035	1	0	0
Здравствуйте. Можно ли ИП на патенте сразу подать заявление на уменьшение патента на сумму страховых взносов или необходимо разделить на 2 заявления на сумму патента, которую надо заплатить до 31 марта, а второе на сумму, которую надо заплатить до 31 декабря.	465666	1	0	0
Добрый день. В декларации по УСН необходимо указать обоснование применения льготной ставки. ИП зарегистрирован в Калмыкии. Как в этом случае будет заполнена строка 124 налоговой декларации по УСН?	2118629	1	0	0
Доброе утро, вопрос, если в Учетной политике малого предприятия, прописано, что основные средства учитываются по первоначальной стоимости, могу я с амортизированные основные средства с остаточной стоимостью 0 руб учитывать на счете 01 пока они работают? или должна их переместить на забалансовый счет?	5203226	1	0	0
Здравствуйте. Стоимость эл билета в валюте, пересчет в рубли должен быть на дату покупки или дату перелета?	17349185	1	0	0
Добрый день, нужно ли сдавать форму ПМ-Пром при ремонте электродвигателей	9823073	1	0	0
Здравствуйте! Подскажите, как арендатору отразить в бухучете аренду машино-места? Можно учитывать на затратах? Срок аренды 11 мес.	8407140	1	0	0
можно ли подать уведомление за 4 кв 2022 имущество в 2024?	4434701	1	0	0
Добрый день!Должны ли мы после начисление зп пересчитывать отпуска?	2971714	1	0	0
Добрый день. На 07счете в 1с висит ТМЦ , можно ли перенести на счет 10 и далее списать?	8128445	1	0	0
добрый день. имеет ли право работодатель предоставлять личную информацию (а именно, личный номер телефона и адрес регистрации) судебным приставам по письменному запросу?	19147070	1	0	0
Облагается ли НДС премия работнику в натуральной форме в качестве приобретения авиабилета?	4097619	1	0	0
"Нужен документ: Методические рекомендации ""Алгоритм действий по преемственности оказания экстренной медицинской помощи пострадавшим при дорожно-транспортных происшествиях с травмами, сопровождающимися шоком"", разработанные главным внештатным специалистом по скорой медицинской помощи Министерства здравоохранения Российской Федерации С.Ф. Багненко"	21061603	1	0	0
Добрый день! При составлении отчета 6 НДФЛ за 2023 г. было обнаружено недоудержание НДФЛ за вторую половину месяца (июль 2023 г.). С какого дня начисляются пени? С 29.08.2023 г. по день уплаты (включительно)? НДФЛ нужно было перечислить в бюджет 28.08.2023 г.	15184965	1	0	0
Доброе утро, как сдать ндфл если работник работал в нескольких обособленных подразделениях	16989421	1	0	0
Организация ООО на ОСНО по итогам 2022 и 2023 года имеет выручку более 800 млн руб. В 2024 за2023подлежит обязательному аудиту. Эта Организация до сих пор включена в реестр МСП. Вопрос: может ли организация применять 1) упрощенные способы ведения учета? 2) может ли не применять ПБУ 18? 3) Может ли применять пониженные тарифы страховых взносов свыше МРОТ (вместо 30% - 15%)?	4915738	1	0	0
Добрый день! Подскажите, пож-та, к нам трудоустроился сотрудник, у него в военном билете написано, что снят с воинского учета (по возрасту), нужно ли отправлять извещение о приеме в данном случае?	18052747	1	0	0
Доброе утро! Нет комментарием к письменному вопросу №4065310	14609118	1	0	0
День добрый. Подскажите пожалуйста в такой ситуации. 26.01.2024 года была выплачена зарплата за 1 половину января(аванс). Соответственно был уплачен налог НДФЛ за период с 23.01.2024 года по 31.01.2024года. И подано уведомление за данный период. 09.02.2024 года была выплачена зарплата за 2 половину января.. В уведомлении мне какой срок указывать нужно ??? За период с 01.01.2024 по 22.01.2024 года или как то по другому	3471662	1	0	0
Общественная организация на УСН - доходы проводит соревнования. Главный приз-автомобиль, который приобрели для соревнований Как учесть данный автомобиль в 1с.	683439	1	0	0
Доброе утро! Мне нужен материал об испытательном сроке для сотрудника. И какая есть судебная практика на эту тему.	6806031	1	0	0
Здравствуйте! У ИП в собственности нежилое помещение. участвует в предпринимательской деятельности. При применении УСН налог на это имущество рассчитывается из кадастровой стоимости. Когда ИП перейдет на ОСН как рассчитывается налог на имущество если: 1. нежилое здание есть в перечне. 2. если нежилое здание в перечне отсутствует?	14956691	1	0	0
Здравствуйте! ООО с единственным участником начинает процедуру ликвидации. Общество убыточное. Должно ли Общество возвращать уставной капитал единственному участнику? И если должно, то в какой срок?	2714094	1	0	0
"Добрый день, у меня возник следующий вопрос: принимаем к учету НМА - лицензию сроком действия 12 месяцев стоимостью 700 тыс. руб., стоимостной лимит НМА 100 тыс руб и выше, Вопрос надо ли амортизировать НМА в течении 12 месяцев или стоимость можно принять к расходам единовременно, т.к. 
полезного использования срок не более 12 месяцев"	12694050	1	0	0
ylak	2129652	1	0	0
Добрый день, граждане Киргизии приняты на работу в России на основании регистрации на срок 90 суток, 90 суток закончилось и они продолжают работать, мы как организация не можем составить доп соглашение на продление срока трудового договора, т к не продлена регистрация, а Миграционная служба требует трудовой договор на продление. Какое решение данного вопроса?	18536654	1	0	0
Здравствуйте Сотрудник сломал руку в выходной день. С какого дня больничный	2851749	1	0	0
енп 2024г	808481	1	0	0
Добрый день! По какой форме нужно сдавать декларацию по налогу на имущество за 2023 год?	4004194	1	0	0
по договору ГПХ по сотруднику перечислены страховые взносы меньше минимального размера, должен работодатель начислить и выплатить больничный такому сотруднику по договору ГПХ в 2024 году за 3 дня за счет предприятия?	21061603	1	0	0
Добрый день, вопрос: Организация (АО) продала автомобиль физлицу за 170 т.р., в связи с изменением законодательства наличные расчеты с физлицом через кассу предприятия не имеют лимита по договору и физлицо может произвести оплату в кассу организации сумму в полном объеме, а именно 170т.р.?	3630063	1	0	0
2024	5525368	1	0	0
Добрый день, подскажите пожалуйста, какие из указанных ниже ФСБУ малое предприятие ООО (не микропредприятие, т.к. среднесписочная численность за 2023 г. - 22 чел., выручка менее 120 млн.), на УСН, имеющее право на упрощенные способы учета, имеет право не применять в 2023-2024 г., а какие из них должно применять: 25/2018, 5/2019, 6/2020, 26/2020, 27/2021, 14/2022	15066862	1	0	0
Здравствуйте, относится ли водяная скважина к недвижимому имуществу	774755	1	0	0
Добрый день! Добавьте, пожалуйста, уточнение к запросу №4099936, организация иностранная - ОАЭ	18234864	1	0	0
добрый день, если сотрудника приняли на работу в пятницу,а отчет ЕФС-1 подали в понедельник, считается ли это нарушением срока подачи отчета	10957154	1	0	0
добрый день, работник находится на БЛ, но надумал увольняться. Как производится расчет БЛ в данном случае?	13112983	1	0	0
Добрый день, в какой момент выписывать счет фактуру при реализации жилого помещения. В момент перехода права собственности или можно раньше в момент заключения договора купли продажи?	315007	1	0	0
Добрый день, входят ли выплаты за аренду при расчете налоговой базы по НДФЛ в 350 тыс, свыше которой не предоставляются льготы на детей?	627118	1	0	0
Добрый день. Нужны проводки для бухгалтерского и налогового учета в следующей ситуации - Они получили деньги от Министерства Просвещения РФ в форме субсидии на выплату стипендии, деньги прошли через Казначейство Алт. края, где был открыт для техникума счет, и с казначейского счета были отправлены студентке. Какие правильно сделать проводки? Коммерсы	5352281	1	0	0
Добрый день. Оплатили поставщику сервисное обслуживание на 12 месяцев. Как провести эту услугу для НУ и БУ? Единовременно или как РБП на 12 месяцев?	17707574	1	0	0
Добрый день. Контрагент в ЭДО прислал акт на услуги в формате pdf. Можно ли принимать такой акт к учету? Не будет ли проблем с приянтием к расходу для целей налогового учета (УСН, доходы минус расходы). Или акт должен быть передан обязательно в формате xml ?	12668864	1	0	0
Добрый день. Сотрудник вышел на работу в выходной день, но следом взял отгул на неделе. Как следует оплатить работу в выходной день?	9471750	1	0	0
Добрый день! Вопрос по начислению налогов на ЕНП:	2369702	1	0	0
Здравствуйте. У сотрудника нет банковских реквизитов. Можем ли мы выплатить ему через кассу расчет при увольнении?	19820920	1	0	0
Доброго дня! есть ли норматив в пределах которого можно увеличить расходы, уменьшающие УСН, по списанию угля при наличии собственной котельной, или включаем в расходы, уменьшающие УСН уголь по факту (ООО УСН д-р)	13930577	1	0	0
добрый день. Подскажите, пожалуйста, при внесении изменений в перечень ОКВЭД ИП должен уплатить государственную пошлину или нет?	20066633	1	0	0
Доброе утро. Входит ли уплата налога на прибыль, удержанного при выплате доходов налогоплательщикам в виде дивидендов в ЕНП?	15711967	1	0	0
Добрый день. Подскажите пожалуйста по вопросу налога на имущество. Объект на 31 декабря самортизирован. Как отразить в декларации?	21498814	1	0	0
Здравствуйте. Подскажите, какие проводки нужно сделать чтобы закрыть уведомления по 1 С программе	2330041	1	0	0
Организация оплатила за своего Руководителя вступительный и членский взнос в Деловую Россию, провели у себя за счет чистой прибыли. Должна ли организация удержать с этой суммы НДФЛ? Облагается ли данная операция взносами? Нужно ли пересдавать 6-НДФЛ, если не удержали вовремя, но в рамках одного года? Если облагается НДФЛ, то какой код дохода ставить?	4083486	1	0	0
Добрый день! Можно ли учесть в расходах по налогу на прибыль рекламу Яндекс директ?	10702929	1	0	0
Добрый день. С ООО (на НДС)рассчитались квартирой, эту квартиру мы хотим продать физлицу. Продажа квартир не облагается НДС ? Заранее спасибо	344296	1	0	0
изменения2024	21322803	1	0	0
pf zydfhm 2024 u/ gj rfrjq ajhvt clfdfnm ltrkfhfwb. gj yfkjue yf ghb,skm	4004194	1	0	0
Здравствуйте, подскажите пожалуйста, как правильно сформировать отчет 6-НДФЛ за 2023год, если заработную плату за декабрь выплатили в январе 2024г. Можно ли отразить во 2 Разделе всю начисленную заработную плату за год, начисленный НДФЛ за год, а уплаченный НДФЛ меньше на сумму которую уплатили в январе.	4277311	1	0	0
молодой специалист, как правило, характеризует гражданина, имеющего соответствующее образование и принятого на работу по полученной специальности. Однако если работник устроен впервые техником, но у него юридическое образование, он считается молодым специалистом?	2026798	1	0	0
Здравствуйте!) Пришлите, пожалуйста, образец 6 НДФЛ с 2НДФЛ за 2023 год.	19577141	1	0	0
Добрый день, подскажите, можно ли использовать по обособленному подразделению свою нумерацию счет-фактур с префиксом ?	21461539	1	0	0
Здравствуйте. Гражданин получил в наследство долю в обществе с ограниченной ответственностью. Вступив в права наследства, он запросил у общества внушительный перечень документов за предшествующие 5 лет. Имел ли он право знакомиться с информацией о деятельности общества за период, когда не владел долей и не был участником? Вопрос 2: имеет ли он право оспаривать решения или действия, которые были предприняты до его вхождения в состав участников ООО?	14273129	1	0	0
Благодарю!	15184965	1	0	0
Добрый день! Организация оказывает образовательные услуги. Надо ли при приеме оплаты в кассовом чеке указывать меру предмета расчета (тег 2108) или этот тег для услуг является необязательным?	19277102	1	0	0
пособие в 2024г	3365188	1	0	0
Добрый день! Может ли ООО на УСН (доходы-расходы) принять на расходы услуги самозанятого по оформлению документов по кадровым операциям и воинскому учету. Кадровик в штате отсутствует. Договор возмездного оказания услуг с самозанятым подписан, акты оказанных услуг оформляются, чеки предоставляются..	20566930	1	0	0
"Скажите, пожалуйста, после получения данного сообщения , уже сейчас нужно подавать претензию на сумму долга ? 17 фев
Началось банкротное дело в суде
Суды
Суд принял заявление о банкротстве контрагента. Следите за ходом банкротного дела, если у контрагента есть долги перед вами. Включитесь в реестр кредиторов, как только суд введет процедуру наблюдения."	836505	1	0	0
В 2023 организация применяла ОСНО. С 2024 перешла на режим УСНО. Можно ли списать остатки РБП при переходе с ОСН на УСН для уменьшения налога на УСН в 2024г.	21172367	1	0	0
добрый день как посчитать авансовый платеж по прибыли за январь 2024 года по какой формуле	110559	1	0	0
Здравствуйте. у нас есть несколько сотрудников которые живут в других городах. руководитель хочет купить автомобили на организацию и передать им в пользование для того чтобы они добирались до места работы и обратно. все расходы на гсм и ремонт хочет принимать к ну. какими первичными документами эти операции оформляются?	9727050	1	0	0
Добрый день! Организация подписала договор о покупке доли в уставном капитале другой организации 26.12.2023 года, регистрация в налоговом органе произведена 06.02.2024 года. Деньги за долю будут перечислены (по договору) 29.02.2024. В каком периоде надо отражать в бух.учете приобретение доли в УК (2023 или 2024 год)?	15127177	1	0	0
Добрый день. Подскажите пожалуйста. У нас в собственности есть земя приобретали ее в 1993 году допустим за 700т.р. Сейчас ее кадастровая стоимость допустим 17 млн.р. Можем ли мы сделать ее пеоценку и довести до кадастровой стоимости. Меня интересует бухгалтерский и налоговый учет. Спасибо.	3069674	1	0	0
Доброе утро вопрос. Сотрудник подключает к ДМС своего родственника, за свой счет. Как отразить проводкми удержание у сотрудника в счет оплаты по ДМС?	1737412	1	0	0
если пришло требование, что не взяли в зачет авансовый счет фактуру от поставщика (лизинговая компания) какое пояснение нужно им составить?	17015228	1	0	0
приняли на работу врача на 1 час для выпуска водителей на рейс, он работает в поликлинике, нужно ли нам об принятии его на 1 час на работу оповещать военкомат	1901420	1	0	0
как зарезервированную сумму на ЕНС счете отразить по счету ЕНС в бух. учете?	8677835	1	0	0
налоговая прислала требование - отредактировать СПИ по ОС с нулевой остаточной стоимостью и доначислить налог на имущество по движимым ОС, правомерно ли такое требование?	1874648	1	0	0
Добрый день, поясните пожалуйста. Можно ли получить вычет по НДФЛ за фитнес, если договор оказания услуг есть и в нем прописана сумма оказанных услуг, а чеки утеряны. Достаточно ли в этом случае договора с прописанной суммой оказанных услуг?	5491956	1	0	0
Доброе утро! Считается ли возмещение коммунальных услуг (энергия вода тепло) нашим доходом при УСН 6%от дохода, надо ли включать эти суммы при расчете налога 6%?	2864872	1	0	0
У меня есть сотрудница, которая пошла в отпуск по уходу за ребенком, а пособие будет получать отец. Отец может получать пособие и работать полный рабочий день?	671247	1	0	0
Один и тот же сотрудник работает в дух организациях на 0,5 ставки МРОТ. зарплата в каждой организации одинаковая. Как оплачивать больничный в 2024г.??	5649962	1	0	0
"приказ № 101 ОД от 10 февраля 2023 года ""Об особенностях проведения МСЭ в отношении военнослужащих, участников ликвидации последствий катастрофы на ЧАЭС и пострадавших в результате несчастных случаев на производстве и профессионального заболевания"""	21061603	1	0	0
Подскажите, срок сдачи расчета о доходах выплаченных иностранным компаниям за январь 2024 года какой? 25 февраля? он же ежемесячный?	12971050	1	0	0
"Здравствуйте! Сотрудник нашей организации получил денежные средства под отчет и приобрел на них от своего лица (без доверенности от ЮЛ) в магазине (принадлежащем другому юр.лицу) ноутбук для работы в офисе стоимостью более 100 тысяч руб. Принес в бухгалтерию авансовый отчет с чеком, утвержденный руководителем.
Является ли эта операция нарушением лимита расчетов между юр.лицами и порядка ведения кассовых операций?"	1857275	1	0	0
Здравствуйте, подскажите пожалуйста если бухгалтер решил уволиться с основного места работы, оформить ИП или самозанятость, уйти на удаленную работу и заключить с этой же организацией договор на обслуживание, будут ли вопросы у ФНС	7668362	1	0	0
Добрый день! Подскажите к коду 700 (при заполнении декларации по налогу на прибыль) что относят?	7186871	1	0	0
Да, отправляйте	169233	1	0	0
Добрый день. Где можно найти положение о видеонаблюдении на производственных объектах?	2733071	1	0	0
Доброе утро! Следует ли сдавать отчет 6ндфл организации в которой выплаты физлицам не осуществлялись?	2252828	1	0	0
Добрый день. Может ли сотрудник подотчетные деньги потратить на покупки личного характера в магазине и какие санкции грозят организации и сотруднику?	9460257	1	0	0
нет ответа на комментарий к вопросу 15.02.2024 №4099098	9746123	1	0	0
сотрудник принес справки об оказании ему медицинских услуг за 2023год чтобы организация предоставила ему вычет по НДФЛ как это сделать?	4523329	1	0	0
Здравствуйте! Организация выплачивает средний заработок сотруднику на время мобилизации, трудовой договор с ним приостановлен (он не уволен). Облагается ли данная выплата налогом на прибыль?	17701445	1	0	0
Добрый день! Если ИП пенсионер прекратил деятельность в качестве ИП, как обратиться в СФР для увеличения пенсии	18544084	1	0	0
Здравствуйте. В октябре 2023 г. к ООО было присоединено предприятие в результате его реорганизации путем присоединения. В 2024 г. у ООО возникла необходимость сдать корректировочную декларацию по налогу на прибыль за 2022 г. за присоединенное предприятие. Какой код налогового периода в данной корректировочной декларации нужно указать?	7667942	1	0	0
Добрый день. Подскажите такая ситуация ИП на Патенте вид деятельности грузоперевозки без привлечения сотрудников. Но за рулём не сам ИП, а муж. Какие налоговые риски? И как правильно выбрать систему налогообложения. И может ли налоговая отменить применение патента?	229394	1	0	0
Здравствуйте, к каким расходам относятся культуртехнические работы на арендованной земле?	18723240	1	0	0
"добрый день. ""организация является получателем (одаряемым) по договору пожертвования денежных средств. какого налогообложение при их получении?"""	16107482	1	0	0
проводки начисления процентов по кредиту	6568152	1	0	0
Ну ситуацию я вам написала что еще нало?	9417096	1	0	0
"здравствуйте. У меня не работает ""Расчетчик зарплат"". расчет пособия повременной нетрудоспособности"	12134272	1	0	0
могут ли юр.лица рассчитываться наличными денежными средствами по договору свыше 100 тыс.руб.?	8939007	1	0	0
добрый день! обязан ли ИП УСН 6% без сотрудников предоставлять СТАТотчетность в электронном виде?	804519	1	0	0
"Вопрос в отношении правильного заполнения Акта инвент-ии расчетов с покупателями, поставщиками... ИНВ-17.
Дебиторская задолженность на 31.12.2023г: 500тыс руб.в т ч подтвержденная актом сверки 100тыс. 50тыс- истек срок исковой давности (более 3 лет). Как заполнить:
гр. 3 (всего)- 500тыс
гр. 4 подтвержденная- 100тыс
гр.5- не подтвержденная-400тыс или 350тыс???
гр.6- с истекшим сроком исковой давности- 50тыс (мы ее спишем по приказу (по результатам инв-ии, 31.12.2023).

т.е. в 5 графу входит задолженность с истекшим сроком давности? или должно быть так: гр3+ гр4+5+6?"	4396370	1	0	0
добрый день. подскажите пожалуйста: физ. лицо-арбитражный управляющий посит помещение в аренду у организации, какие налоговые посдедствия и отчетность возникает у организации аредодателя	7887160	1	0	0
Здравствуйте! есть ли разъяснения как расчитать ндпи(нефть) за январь 2024 с учетом фз539	20573350	1	0	0
ОООна ОСНО. в организации есть корпоративная карта привязанная к основному расчетному счету. Можем ли мы снимать по ней денежные средства для выплаты зарплаты через кассу?	19820920	1	0	0
"Здравствуйте. Столкнулась с такой ситуацией:
Умер ИП глава крестьянского фермерского хозяйства. Был единственным членом своего КХ.
21.06.2023 в ЕГРИП внесена запись: «Внесение изменений в сведения о крестьянском (фермерском) хозяйстве, содержащиеся в Едином государственном реестре индивидуальных предпринимателей, в связи со смертью главы крестьянского (фермерского)хозяйства»
Все трудовые договора перестают действовать в день смерти, как у индивидуального предпринимателя? Или продолжают действовать, как в КХ?
Если договора прекращаются, кто делает запись в трудовую книжку работникам об увольнен"	11364898	1	0	0
доброе утро.в октябре прошлого года приобрели погрузчик в лизинг.как быть с транспортным налогом?декларация и оплата	3246353	1	0	0
Добрый день! Подскажите пожалуйста по ситуации. Мама подарила мне земельный участок по дарственной. Сейчас налоговая прислала мне письмо, что мне надо предоставить декларацию 3-НДФЛ за 2023г. Но я никаких сделок купли-продажи не производила, участок как был в моей собственности, так и остался. Может, мне пояснение написать налоговикам?	533480	1	0	0
Добрый день, есть ли у Вас образец справки стоимости добытого песка?	1660819	1	0	0
